DIM_D365_AGE_CATEGORY_SK,AGE_CATEGORY_RECID,AGE_CATEGORY_DESC,MIN_AGE_DAYS,MAX_AGE_DAYS,SORT_ORDER,TOOL_TIP,AGE_CATEGORY_TYPE
7912e4b4dab3d5f0321a338327274227,1,0-30 days,0,30,1,,SALES
a5127b63b311f9fdc1aee21cc54097d8,2,31-60 days,31,60,2,,SALES
864a1cc4edaf17dc5633d4a4191499b8,3,61-90 days,61,90,3,,SALES
7ce91e82c598e4355bdb72dddb9d4381,4,91-120 days,91,120,4,,SALES
9a412d2e6e037533e330071ab9968243,5,120+ days,121,1000000,5,,SALES
1234027fcdce0c78d1c9d1bebf85fa4e,6,Unknown,,,0,No Production date available,SALES
444a125139e96d28b80a3db8c7a3aaac,1,0-30 days,0,30,1,,FINANCE
4a3504ca66fec3f249ce7d8bbef1c27e,2,31-90 days,61,90,2,,FINANCE
b1c2455ebc63be9d928e948c567e8837,3,91-180 days,91,180,3,,FINANCE
5a8be141f99f7981c08bf5b50b4b7cbb,4,180 days - 1 year,181,365,4,,FINANCE
4ffeb17efa8ee9a5ed51b49d5903850d,5,1-2 years,366,730,5,,FINANCE
afbf3c4ee916abb012c57249d23251bb,6,2-3 years,731,1095,6,,FINANCE
eb3431e1ebad1cce992b732c3a80cdde,7,3-5 years,1096,1460,7,,FINANCE
c77e1cd08835650c08fb2700a3c22689,8,5+ years,1461,999999,7,,FINANCE
b9c10d37dddaf9ca7a063ed23423e4ca,9,Unknown,,,0,No Production date available,FINANCE
